no real user sys rows
877 0.007 0 0.005 0
878 0.007 0.005 0 0
879 0.007 0 0.005 0
880 0.006 0.005 0 0
881 0.008 0.006 0 0
882 0.007 0.005 0 0
883 0.007 0.003 0.003 0
884 0.01 0.006 0 1
885 0.008 0.005 0 0
886 0.009 0.005 0 1
887 0.006 0.005 0 0
888 0.006 0.005 0 0
889 0.009 0.006 0 1
890 0.007 0.005 0 0
891 0.007 0.006 0 0
892 0.007 0 0.005 0
893 0.008 0.006 0 0
894 0.007 0.005 0 0
895 0.007 0.006 0 0
896 0.006 0.005 0 0
897 0.006 0 0.005 0
898 0.007 0.006 0 0
899 0.007 0.003 0.003 0
900 0.006 0 0.005 0
901 0.007 0.005 0 0
902 0.006 0.005 0 0
903 0.007 0.003 0.003 0
904 0.006 0.005 0 0
905 0.014 0.005 0 0
906 0.007 0 0.005 0
907 0.006 0.005 0 0
908 0.006 0.005 0 0
909 0.006 0 0.005 0
910 0.008 0.005 0 0
911 0.006 0 0.005 0
912 0.007 0.005 0 0
913 0.006 0.005 0 0
914 0.007 0.005 0.001 0
915 0.007 0.006 0 1
916 0.007 0.006 0 1
917 0.007 0.005 0 0
918 0.006 0.005 0 0
919 0.006 0.003 0.003 0
920 0.007 0 0.005 0
921 0.007 0 0.005 0
922 0.008 0.006 0 0
923 0.008 0.006 0 0
924 0.011 0.006 0 1
925 0.007 0.005 0 0
926 0.007 0.006 0 0
927 0.009 0.005 0 1
928 0.007 0.006 0 0
929 0.007 0 0.005 0
930 0.007 0.006 0 0
931 0.007 0.006 0 0
932 0.009 0 0.005 1
933 0.006 0.005 0 0
934 0.007 0.005 0 0
935 0.008 0.005 0 1
936 0.006 0.005 0 0
937 0.006 0.003 0.002 0
938 0.007 0 0.005 0
939 0.01 0 0.005 1
940 0.007 0.003 0.003 0
941 0.006 0 0.005 0
942 0.008 0.005 0 0
943 0.008 0 0.005 0
944 0.006 0 0.005 0
945 0.007 0.005 0 0
946 0.008 0.006 0 0
947 0.008 0.006 0 0
948 0.008 0.006 0 0
949 0.007 0.003 0.003 0
950 0.007 0.006 0 0
951 0.007 0.006 0 0
952 0.007 0.003 0.003 0
953 0.007 0.006 0 0
954 0.007 0.006 0 0
955 0.007 0 0.005 0
956 0.007 0.005 0 0
957 0.008 0.003 0.003 0
958 0.007 0.005 0 0
959 0.007 0.003 0.003 0
960 0.006 0.005 0 0
961 0.007 0.001 0.005 0
962 0.007 0.005 0 0
963 0.007 0.005 0 0
964 0.007 0 0.005 0
965 0.006 0.005 0 0
966 0.008 0.003 0.003 0
967 0.007 0.005 0 0
968 0.006 0.005 0 0
969 0.007 0.006 0 1
970 0.007 0 0.005 0
971 0.008 0.006 0 0
972 0.007 0.003 0.003 0
973 0.01 0 0.006 1
974 0.007 0.003 0.003 0
975 0.007 0.006 0 1
976 0.007 0.005 0 0
977 0.007 0.005 0 0
